rank,city,state,population,latitude,longitude
8934,Shortsville,NY,1401,42.9559145,-77.2206913
8935,Navassa,NC,1401,34.2554474,-78.0074906
8936,Kittitas,WA,1401,46.9838217,-120.4182898
8937,Johnson,VT,1401,44.6356063,-72.6803979
8938,Boston Heights,OH,1399,41.264778,-81.513171
8939,Blossom,TX,1399,33.6614962,-95.3857864
8940,Greenwich,OH,1398,41.0300548,-82.5157264
8941,Stratford,OK,1398,34.7967497,-96.9594636
8942,Kensett,AR,1398,35.2317523,-91.6676357
8943,Kincaid,IL,1397,39.5886601,-89.4145363
8944,Spring Valley,WI,1397,44.8452432,-92.2387957
8945,White Cloud,MI,1397,43.550297,-85.771997
8946,Stockton,KS,1397,39.438066,-99.265097
8947,Pomeroy,WA,1397,46.4748738,-117.602689
8948,Elizabeth,PA,1396,40.2692367,-79.8897706
8949,Capitan,NM,1396,33.5453572,-105.5722043
8950,Burton,OH,1396,41.471426,-81.145104
8951,Bel-Nor,MO,1395,38.7015285,-90.31827533
8952,Baldwin,FL,1395,30.3027384,-81.9753865
8953,Worthington,IN,1395,39.1185576,-86.976599
8954,Moody,TX,1395,31.3082273,-97.3613977
8955,Farwell,TX,1395,34.383409,-103.0380016
8956,Blowing Rock,NC,1395,36.1350245,-81.6777907
8957,Aurora,TX,1394,33.05957995,-97.51107099
8958,Babbitt,MN,1394,47.7087143,-91.9440871
8959,Parachute,CO,1394,39.446423,-108.0522672
8960,Hill City,KS,1394,39.364728,-99.842065
8961,Dobson,NC,1394,36.3956891,-80.722567
8962,State Center,IA,1394,42.0168404,-93.1634316
8963,Kingsley,IA,1393,42.5882174,-95.9672874
8964,Ferndale,CA,1393,40.576241,-124.263944
8965,Sabinal,TX,1392,29.3174554,-99.4664356
8966,Centreville,MI,1392,41.9234455,-85.5287424
8967,Hubbard,TX,1390,31.8475504,-96.7963095
8968,Sherburne,NY,1390,42.6781266,-75.4985123
8969,Meridian,TX,1390,31.9247314,-97.6561096
8970,Odon,IN,1389,38.8428256,-86.9913959
8971,Gleason,TN,1389,36.2136731,-88.6125545
8972,Bay City,OR,1389,45.522604,-123.889296
8973,Sanborn,IA,1389,43.181642,-95.655567
8974,Meggett,SC,1388,32.717956,-80.2389873
8975,Capron,IL,1388,42.3997408,-88.7403793
8976,Tieton,WA,1388,46.7020686,-120.75535
8977,Belle,MO,1387,38.286093,-91.71941326
8978,Logan,IA,1387,41.6430459,-95.7888975
8979,Litchfield,MI,1387,42.044314,-84.7584316
8980,Naples,TX,1386,33.2031774,-94.6802055
8981,Loving,NM,1386,32.2862317,-104.095773
8982,Greenville,IN,1385,38.3725644,-85.9863593
8983,Monticello,MS,1385,31.5536678,-90.1072865
8984,Groton,SD,1385,45.447313,-98.098779
8985,Granville,WV,1384,39.6459146,-79.9872866
8986,Olla,LA,1384,31.9029424,-92.2431938
8987,Pine Knoll Shores,NC,1383,34.6973838,-76.8132697
8988,Neoga,IL,1383,39.3194817,-88.4528261
8989,Clintwood,VA,1382,37.1501067,-82.4559846
8990,Oakland,NE,1382,41.8358265,-96.4669709
8991,Roland,IA,1381,42.1682437,-93.5000923
8992,Pine Prairie,LA,1381,30.7838066,-92.425411
8993,Philo,IL,1381,40.0069761,-88.1580999
8994,Redington Beach,FL,1380,27.8086364,-82.811214
8995,Oakland,MO,1380,38.5764418,-90.3856733
8996,Johnsonville,SC,1380,33.8179432,-79.4492228
8997,Sackets Harbor,NY,1379,43.946171,-76.119093
8998,Eureka,MT,1379,48.874972,-115.0489851
8999,Cascade Locks,OR,1378,45.669513,-121.890402
9000,Atlantic Beach,NC,1378,34.6990505,-76.7402108
